PFT,Sitename
MF,AR-SLu
GRA,AT-Neu
ENF,AU-ASM
SAV,AU-Cpr
EBF,AU-Cum
GRA,AU-DaP
SAV,AU-DaS
SAV,AU-Dry
GRA,AU-Emr
SAV,AU-GWW
WSA,AU-Gin
WSA,AU-How
DBF,AU-Lox
WSA,AU-RDF
GRA,AU-Rig
EBF,AU-Rob
GRA,AU-Stp
OSH,AU-TTE
EBF,AU-Wac
EBF,AU-Whr
EBF,AU-Wom
GRA,AU-Ync
MF,BE-Bra
GRA,BE-Dor
DBF,BE-Lcr
CRO,BE-Lon
CSH,BE-Maa
MF,BE-Vie
WSA,BR-Npw
EBF,BR-Sa3
WET,CA-ARB
WET,CA-ARF
WET,CA-DB2
WET,CA-DBB
MF,CA-Gro
ENF,CA-LP1
ENF,CA-NS1
ENF,CA-NS2
ENF,CA-NS3
ENF,CA-NS4
ENF,CA-NS5
OSH,CA-NS6
OSH,CA-NS7
DBF,CA-Oas
ENF,CA-Obs
ENF,CA-Qfo
ENF,CA-SF1
ENF,CA-SF2
OSH,CA-SF3
ENF,CA-TP1
ENF,CA-TP4
DBF,CA-TPD
GRA,CH-Aws
GRA,CH-Cha
ENF,CH-Dav
GRA,CH-Fru
MF,CH-Lae
GRA,CH-Oe1
CRO,CH-Oe2
MF,CN-Cha
GRA,CN-Cng
GRA,CN-Dan
EBF,CN-Din
GRA,CN-Du2
GRA,CN-Du3
WET,CN-Ha2
GRA,CN-HaM
ENF,CN-Qia
GRA,CN-Sw2
ENF,CZ-BK1
GRA,CZ-BK2
CRO,CZ-KrP
MF,CZ-Lnz
ENF,CZ-RAJ
DBF,CZ-Stn
WET,CZ-wet
CRO,DE-Geb
GRA,DE-Gri
DBF,DE-Hai
DBF,DE-HoH
WET,DE-Hte
DBF,DE-Hzd
CRO,DE-Kli
ENF,DE-Lkb
DBF,DE-Lnf
ENF,DE-Obe
GRA,DE-RuR
CRO,DE-RuS
ENF,DE-RuW
CRO,DE-Seh
WET,DE-SfN
ENF,DE-Tha
CRO,DK-Fou
ENF,DK-Gds
WET,DK-Skj
DBF,DK-Sor
CRO,DK-Vng
SAV,ES-Abr
OSH,ES-Agu
OSH,ES-Amo
OSH,ES-LJu
SAV,ES-LM1
SAV,ES-LM2
OSH,ES-LgS
ENF,FI-Hyy
ENF,FI-Ken
ENF,FI-Let
WET,FI-Lom
CRO,FI-Qvd
WET,FI-Sii
ENF,FI-Sod
ENF,FI-Var
CRO,FR-Aur
ENF,FR-Bil
CRO,FR-EM2
MF,FR-FBn
DBF,FR-Fon
CRO,FR-Gri
DBF,FR-Hes
ENF,FR-LBr
WET,FR-LGt
CRO,FR-Lam
GRA,FR-Mej
EBF,FR-Pue
GRA,FR-Tou
EBF,GF-Guy
EBF,GH-Ank
WET,GL-NuF
WET,GL-ZaF
GRA,GL-ZaH
ENF,IL-Yat
CRO,IT-BCi
DBF,IT-BFt
DBF,IT-CA1
CRO,IT-CA2
DBF,IT-CA3
DBF,IT-Col
EBF,IT-Cp2
EBF,IT-Cpz
DBF,IT-Isp
ENF,IT-La2
ENF,IT-Lav
OSH,IT-Lsn
GRA,IT-MBo
CSH,IT-Noe
DBF,IT-PT1
ENF,IT-Ren
DBF,IT-Ro1
DBF,IT-Ro2
ENF,IT-SR2
ENF,IT-SRo
GRA,IT-Tor
MF,JP-SMF
DBF,MX-Tes
EBF,MY-PSO
GRA,NL-Hor
ENF,NL-Loo
DBF,PA-SPn
GRA,PA-SPs
WET,RU-Che
OSH,RU-Cok
ENF,RU-Fy2
ENF,RU-Fyo
GRA,RU-Ha1
SAV,SD-Dem
WET,SE-Deg
ENF,SE-Htm
CRO,SE-Lnn
ENF,SE-Nor
ENF,SE-Ros
ENF,SE-Svb
WET,SJ-Adv
GRA,US-A32
GRA,US-AR1
GRA,US-AR2
CRO,US-ARM
GRA,US-ARb
GRA,US-ARc
WET,US-Atq
WET,US-BZB
WET,US-BZF
ENF,US-BZS
WET,US-BZo
CRO,US-Bi1
CRO,US-Bi2
ENF,US-Blo
CRO,US-CF1
CRO,US-CF2
CRO,US-CF3
CRO,US-CF4
CRO,US-CRT
CRO,US-CS1
CRO,US-CS3
CRO,US-CS4
WET,US-EDN
ENF,US-GLE
GRA,US-Goo
WET,US-HB1
CVM,US-HWB
OSH,US-Hn3
ENF,US-Ho2
GRA,US-IB2
WET,US-ICs
OSH,US-ICt
WET,US-Ivo
OSH,US-Jo2
GRA,US-KFS
GRA,US-KLS
ENF,US-KS1
CSH,US-KS2
WET,US-KS3
GRA,US-LWW
CRO,US-Lin
WET,US-Los
DBF,US-MOz
ENF,US-Me1
ENF,US-Me2
ENF,US-Me3
ENF,US-Me4
ENF,US-Me5
ENF,US-Me6
WSA,US-Mpj
WET,US-Myb
OSH,US-NC1
WET,US-NC4
ENF,US-NR1
GRA,US-ONA
WET,US-OWC
DBF,US-Oho
ENF,US-Prr
CRO,US-Ro1
GRA,US-Ro4
CRO,US-Ro5
CRO,US-Ro6
OSH,US-SRC
GRA,US-SRG
WSA,US-SRM
GRA,US-Seg
OSH,US-Ses
GRA,US-Sne
GRA,US-Snf
MF,US-Syv
WSA,US-Ton
CRO,US-Tw3
WET,US-Tw4
CRO,US-Twt
GRA,US-Var
DBF,US-WCr
WET,US-WPT
OSH,US-Whs
ENF,US-Wi0
DBF,US-Wi1
ENF,US-Wi2
DBF,US-Wi3
ENF,US-Wi4
ENF,US-Wi5
OSH,US-Wi6
OSH,US-Wi7
DBF,US-Wi8
ENF,US-Wi9
SAV,US-Wjs
GRA,US-Wkg
GRA,US-xAE
DBF,US-xBR
GRA,US-xCL
GRA,US-xCP
GRA,US-xDC
MF,US-xDL
CVM,US-xDS
DBF,US-xGR
DBF,US-xHA
OSH,US-xHE
ENF,US-xJE
GRA,US-xKA
GRA,US-xKZ
OSH,US-xMB
DBF,US-xML
GRA,US-xNG
OSH,US-xNQ
ENF,US-xRM
ENF,US-xSB
DBF,US-xSE
OSH,US-xSR
DBF,US-xST
ENF,US-xTA
DBF,US-xTR
DBF,US-xUK
MF,US-xUN
ENF,US-xYE
WSA,ZM-Mon
